Movie_Num,Title,Production Budget,Domestic,International,Worldwide,Profitable,Genre,Runtime (minutes),Distributor,Rating ,Theaters,Month of Release,,,,,,,,,,,,
69,"Monsters, Inc.",115000000,289423425,270334294,559757719,1,Aimation,90,Buena Vista,G,3649,11,,,,,,,,,,,,
70,The Hunger Games: Mockingjay - Part 2,160000000,281723902,368799525,650523427,1,Action Adventure,137,Lionsgate,PG-13,4175,11,,,,,,,,,,,,
71,The Matrix Reloaded,150000000,281553689,457023240,738576929,1,Sci-Fi Action,138,Warner Bros.,R,3603,5,,,,,,,,,,,,
72,"The Twilight Saga: Breaking Dawn, Part 1",110000000,281287133,408132918,689420051,1,Romance,108,Summit Entertainment,PG-13,4066,11,,,,,,,,,,,,
73,Meet the Fockers,80000000,279167575,237400000,516567575,1,Comedy,114,Universal,PG-13,3554,12,,,,,,,,,,,,
74,Home Alone,15000000,277504018,190923432,468427450,1,Family Comedy,105,Fox,PG,2173,11,,,,,,,,,,,,
75,The Hangover,35000000,277322503,188441583,465764086,1,Comedy,96,Warner Bros.,R,3545,6,,,,,,,,,,,,
76,Gravity,100000000,274092705,442300000,716392705,1,Sci-Fi Thriller,91,Warner Bros.,PG-13,3820,10,,,,,,,,,,,,
77,Monsters University,200000000,268488329,475100000,743588329,1,Animation,107,Buena Vista,G,4004,6,,,,,,,,,,,,
78,Shrek,60000000,267655011,224157783,491812794,1,Animation,90,DreamWorks,PG,3715,5,,,,,,,,,,,,
79,The Amazing Spider-Man,230000000,262030663,495859604,757890267,1,Action Adventure,136,Sony / Columbia,PG-13,4318,7,,,,,,,,,,,,
80,Harry Potter and the Chamber of Secrets,100000000,261987880,616991754,878979634,1,Fantasy,161,Warner Bros.,PG,3682,11,,,,,,,,,,,,
81,The Incredibles,92000000,261441092,353285660,614726752,1,Animation,115,Buena Vista,PG,3933,11,,,,,,,,,,,,
82,How the Grinch Stole Christmas,123000000,260044825,85096578,345141403,1,Family Comedy,104,Universal,PG,3256,11,,,,,,,,,,,,
83,Jaws,7000000,260000000,210700000,470700000,1,Horror Thriller,125,Universal,PG,675,6,,,,,,,,,,,,
84,Captain America: The Winter Soldier,170000000,259746958,454100000,713846958,1,Action Adventure,136,Buena Vista,PG-13,3938,4,,,,,,,,,,,,
85,The Hobbit: The Desolation of Smaug,225000000,258366855,702000000,960366855,1,Fantasy,161,New Line,PG-13,3928,12,,,,,,,,,,,,
86,The Lego Movie,60000000,257784718,199944670,457729388,1,Animation,100,Warner Bros.,PG,3890,2,,,,,,,,,,,,
87,Star Trek,150000000,257730019,127950427,385680446,1,Sci-Fi Adventure`,126,Paramount,PG-13,4053,5,,,,,,,,,,,,
88,I am Legend,159000000,256393010,329139674,585532684,1,Sci-Fi Horror,100,Warner Bros.,PG-13,3648,12,,,,,,,,,,,,
89,The Blind Side,29000000,255959475,49746319,305705794,1,Sports Drama,126,Warner Bros.,PG-13,3407,11,,,,,,,,,,,,
90,The Hobbit: The Battle of the Five Armies,250000000,255119788,700000000,955119788,1,Fantasy,144,New Line,PG-13,3875,12,,,,,,,,,,,,
91,The Hangover Part II,80000000,254464305,332000000,586464305,1,Comedy,102,Warner Bros.,R,3675,5,,,,,,,,,,,,
92,Zootopia,150000000,252738048,456200000,727020310,1,Animation,108,Buena Vista,PG,3959,3,,,,,,,,,,,,
93,Despicable Me,69000000,251513985,291981048,543495033,1,Animation,95,Universal,PG,3602,7,,,,,,,,,,,,
94,Night at the Museum,110000000,250863268,328583139,579446407,1,Family Adventure,108,Fox,PG,3768,12,,,,,,,,,,,,
95,Men in Black,90000000,250147615,337100000,587247615,1,Sci-Fi Comedy,97,Sony / Columbia,PG-13,3180,7,,,,,,,,,,,,
96,Harry Potter and the Prisoner of Azkaban,130000000,249538952,547149597,796688549,1,Fantasy,142,Warner Bros.,PG,3855,6,,,,,,,,,,,,
97,Batman,35000000,248972777,160160000,409132777,1,Action Adventure,126,Warner Bros.,PG-13,2201,6,,,,,,,,,,,,
98,Raiders of the Lost Ark,20000000,248159971,141766000,389925971,1,Period Adventure,115,Paramount,PG,1078,6,,,,,,,,,,,,
99,Toy Story 2,90000000,245823397,265506097,511329494,1,Animation,92,Buena Vista,G,3257,11,,,,,,,,,,,,
100,Transformers: Age of Extinction,210000000,245439076,858600000,1104039076,1,Sci-Fi Action,165,Paramount,PG-13,4233,6,,,,,,,,,,,,
101,The 13th Warrior,160000000,32698899,29000000,61700000,0,Adventure,102,Buena Vista,R,2313,8,,,,,,,,,,,,
102,47 Ronin,225000000,38362475,113421364,151800000,0,Action Drama,127,Universal,PG-13,2690,12,,,,,,,,,,,,
103,The Adventures of Baron Munchausen,23500000,8083123,0,8100000,0,?,125,Columbia,PG ,120,3,,,,,,,,,,,,
104,The Adventures of Pluto Nash,100000000,4420080,2683893,7100000,0,Sci-Fi Comedy,95,Warner Bros.,PG-13,2320,8,,,,,,,,,,,,
105,The Adventures of Rocky & Bullwinkle,98600000,26005820,9129000,35100000,0,Family Comedy,92,Universal,PG,2482,6,,,,,,,,,,,,
106,The Alamo,107000000,22414961,3405000,25800000,0,War,137,Buena Vista,PG-13,2609,4,,,,,,,,,,,,
107,Alexander,155000000,34297191,133001001,167300000,0,Historical Epic,176,Warner Bros.,R,2445,11,,,,,,,,,,,,
108,Ali,107000000,58203105,29510720,87700000,0,Sports Drama,156,Sony / Columbia,R,2521,12,,,,,,,,,,,,
109,Aloha,37000000,21067116,5182904,26300000,0,Comedy / Drama,105,Sony / Columbia,PG-13,2815,5,,,,,,,,,,,,
110,Around the World in 80 Days,110000000,24008137,48170758,72200000,0,Family Adventure,120,Buena Vista,PG,2801,6,,,,,,,,,,,,
111,The Astronauts Wife,75000000,10672566,8926022,19600000,0,Horror Thriller,110,New Line,R,2209,8,,,,,,,,,,,,
112,Ballistic: Ecks vs. Sever,70000000,14307963,5616070,19900000,0,Action  ,91,Warner Bros.,R,2705,9,,,,,,,,,,,,
113,Battlefield Earth,103000000,21471685,8253978,29700000,0,Sci-Fi Adventure,117,Warner Bros.,PG-13,3307,5,,,,,,,,,,,,
114,Battleship,209000000,65422625,237602860,303000000,0,Action,131,Universal,PG-13,3702,5,,,,,,,,,,,,
115,Beloved,80000000,22852487,0,22900000,0,Period Drama,172,Buena Vista,R,1571,10,,,,,,,,,,,,
116,Blackhat,70000000,8005980,11646077,20000000,0,Thriller,135,Universal,R,2568,1,,,,,,,,,,,,
117,The Bonfire of the Vanities,47000000,15691192,0,15700000,0,Comedy,126,Warner Bros.,R,1395,12,,,,,,,,,,,,
118,Catwoman,100000000,40202379,41900000,82100000,0,Action / Adventure,104,Warner Bros.,PG-13,3117,7,,,,,,,,,,,,
119,Chill Factor,70000000,11263966,0,11800000,0,Action Comedy,102,Warner Bros.,R,2558,9,,,,,,,,,,,,
120,The Chronicles of Riddick,120000000,57761012,58011721,115800000,0,Sci-Fi Fantasy,119,Universal,PG-13,2757,6,,,,,,,,,,,,
121,Conan the Barbarian,90000000,21295021,27500000,48800000,0,Action,112,Lionsgate,R,3015,8,,,,,,,,,,,,
122,The Cotton Club,47000000,25928721,0,25900000,0,Crime Drama,127,Orion Pictures,R,809,12,,,,,,,,,,,,
123,Cowboys & Aliens,163000000,100240551,74581774,174800000,0,Sci-Fi Action,118,Universal,PG-13,3754,7,,,,,,,,,,,,
124,Cutthroat Island ,98000000,10017322,8000000,18300000,0,Period Adventure,123,MGM,PG-13,1619,12,,,,,,,,,,,,
125,Doctor Dolittle,17000000,144156605,150300000,294456605,1,Family Comedy,85,Fox,PG-13,2871,6,,,,,,,,,,,,
126,Driven,94000000,32720065,22024673,54700000,0,Sports Drama,117,Warner Bros.,PG-13,2905,4,,,,,,,,,,,,
127,Dudley Do-Right,70000000,9974410,0,10000000,0,Family Comedy,83,Universal,PG,1855,8,,,,,,,,,,,,
128,Enders Game,110000000,,,125500000,0,Sci-Fi,114,Lionsgate / Summit,PG-13,3407,11,,,,,,,,,,,,
129,Evan Almighty,175000000,,,173400000,0,Fantasy Comedy,90,Universal,PG,3636,6,,,,,,,,,,,,
130,The Fall of the Roman Empire,18400000,,,4800000,0,Historical Epic,188,Paramount,NR,-1,3,,,,,,,,,,,,
131,Fantastic Four,125000000,,,168000000,0,Action / Adventure,100,Fox,PG-13,4004,8,,,,,,,,,,,,
132,Fathers Day,85000000,,,35700000,0,Comedy,99,Warner Bros.,PG-13,2507,5,,,,,,,,,,,,
133,Final Fantasy: The Spirits Within,137000000,,,85100000,0,Animation,108,Sony / Columbia,PG-13,2649,7,,,,,,,,,,,,
134,The Finest Hours,80000000,,,51000000,0,Thriller,109,Buena Vista,PG-13,3143,1,,,,,,,,,,,,
135,Gigli,75600000,,,7300000,0,Crime Comedy,124,Sony (Revolution),R,2215,8,,,,,,,,,,,,
136,Gods and Generals,60000000,,,12900000,0,War,210,Warner Bros.,PG-13,1533,2,,,,,,,,,,,,
137,The Good Dinosaur,200000000,,,321300000,0,Animation,100,Buena Vista,PG,3749,11,,,,,,,,,,,,
138,The Great Raid,80000000,,,10800000,0,War,132,Miramax,R,920,8,,,,,,,,,,,,
139,Green Lantern,200000000,,,219900000,0,Action / Adventure,105,Warner Bros.,PG-13,3816,6,,,,,,,,,,,,
140,Happy Feet Two,135000000,,,158000000,0,Animation,105,Warner Bros.,PG,3611,11,,,,,,,,,,,,
141,Hard Rain,70000000,,,19900000,0,Action / Crime,110,Paramount,R,2132,1,,,,,,,,,,,,
142,Harts War,95000000,,,32300000,0,War Drama,125,MGM,R,2459,2,,,,,,,,,,,,
143,Heavens Gate,44000000,,,3500000,0,Western,219,United Artists,R,-1,11,,,,,,,,,,,,
144,"Hello, Dolly!",25300000,,,33200000,0,Comedy,146,Fox,G,-1,12,,,,,,,,,,,,
145,Honky Tonk Freeway,24000000,,,2000000,0,Comedy,103,Universal,PG,629,8,,,,,,,,,,,,
146,How Do You Know,100000000,,,48700000,0,Comedy / Drama,116,Sony / Columbia,PG-13,2483,12,,,,,,,,,,,,
147,Hudson Hawk,65000000,,,17200000,0,Action Comedy,95,TriStar,R,2072,5,,,,,,,,,,,,
148,Hugo,170000000,,,185800000,0,Family Adventure,127,Paramount,PG,2608,11,,,,,,,,,,,,
149,Inchon,46000000,5200986,0,5200986,0,Unknown,140,MGM,PG,1291,9,,,,,,,,,,,,
150,Instinct,80000000,34105207,0,34105207,0,Drama Thriller,126,Buena Vista,R,2129,6,,,,,,,,,,,,
151,The Invasion,80000000,15074191,25096367,40170558,0,Sci-Fi Thriller,93,Warner Bros.,PG-13,2776,8,,,,,,,,,,,,
152,Ishtar,55000000,14375181,0,14375181,0,Comedy,103,Columbia,PG-13,1139,5,,,,,,,,,,,,
